city,lat,lng,country,iso2,admin,capital,population,population_proper,PROVINCE_CODE
Nelson House,55.8,-98.85,Canada,CA,Manitoba,,2500,2500,MB
Rankin Inlet,62.816667,-92.083333,Canada,CA,Nunavut,,2472,2334,NU
Port Hardy,50.716667,-127.5,Canada,CA,British Columbia,,2295,2295,BC
Biggar,52.05,-107.983333,Canada,CA,Saskatchewan,,2192,2068,SK
Wiarton,44.733333,-81.133333,Canada,CA,Ontario,,2182,2182,ON
Wawa,47.99473,-84.77002,Canada,CA,Ontario,,2174,2174,ON
Hudson Bay,52.85,-102.383333,Canada,CA,Saskatchewan,,2157,1661,SK
Matagami,49.75,-77.633333,Canada,CA,QuÃ©bec,,1966,1183,QC
Arviat,61.116667,-94.05,Canada,CA,Nunavut,,1868,1868,NU
Attawapiskat,52.916667,-82.433333,Canada,CA,Ontario,,1802,1802,ON
Red Lake,51.033333,-93.833333,Canada,CA,Ontario,,1765,1765,ON
Moosonee,51.266667,-80.65,Canada,CA,Ontario,,1725,1725,ON
Tofino,49.133333,-125.9,Canada,CA,British Columbia,,1655,1655,BC
Igloolik,69.4,-81.8,Canada,CA,Nunavut,,1612,1612,NU
Inukjuak,58.45334,-78.102493,Canada,CA,QuÃ©bec,,1597,1597,QC
Little Current,45.966667,-81.933333,Canada,CA,Ontario,,1595,1595,ON
Baker Lake,64.316667,-96.016667,Canada,CA,Nunavut,,1584,1584,NU
Pond Inlet,72.7,-78,Canada,CA,Nunavut,,1549,1549,NU
Cap-Chat,49.083333,-66.683333,Canada,CA,QuÃ©bec,,1484,1466,QC
Cambridge Bay,69.116667,-105.033333,Canada,CA,Nunavut,,1477,1477,NU
Thessalon,46.25,-83.55,Canada,CA,Ontario,,1464,1369,ON
New Bella Bella,52.166667,-128.133333,Canada,CA,British Columbia,,1400,1400,BC
Cobalt,47.383333,-79.683333,Canada,CA,Ontario,,1372,1372,ON
Cape Dorset,64.233333,-76.55,Canada,CA,Nunavut,,1326,1326,NU
Pangnirtung,66.133333,-65.75,Canada,CA,Nunavut,,1320,1320,NU
West Dawson,64.066667,-139.45,Canada,CA,Yukon,,1319,1319,YT
Kugluktuk,67.833333,-115.083333,Canada,CA,Nunavut,,1302,1302,NU
Geraldton,49.716667,-86.966667,Canada,CA,Ontario,,1290,1290,ON
Gillam,56.35,-94.7,Canada,CA,Manitoba,,1281,1281,MB
Kuujjuaq,58.1,-68.4,Canada,CA,QuÃ©bec,,1273,1273,QC
Lake Louise,51.433333,-116.183333,Canada,CA,Alberta,,1248,1248,AB
Nipigon,49.016667,-88.25,Canada,CA,Ontario,,1204,1204,ON
Nain,56.55,-61.683333,Canada,CA,Newfoundland and Labrador,,1151,1151,NL
Gjoa Haven,68.633333,-95.916667,Canada,CA,Nunavut,,1109,1109,NU
Fort McPherson,67.433333,-134.866667,Canada,CA,Northwest Territories,,1069,1069,NT
Argentia,47.3,-54,Canada,CA,Newfoundland and Labrador,,1063,1063,NL
Norman Wells,65.283333,-126.85,Canada,CA,Northwest Territories,,1027,273,NT
Churchill,58.766667,-94.166667,Canada,CA,Manitoba,,1000,923,MB
Repulse Bay,66.516667,-86.233333,Canada,CA,Nunavut,,1000,748,NU
Tuktoyaktuk,69.45,-133.066667,Canada,CA,Northwest Territories,,929,870,NT
Berens River,52.366667,-97.033333,Canada,CA,Manitoba,,892,153,MB
Shamattawa,55.85,-92.083333,Canada,CA,Manitoba,,870,870,MB
Baddeck,46.1,-60.75,Canada,CA,Nova Scotia,,852,852,NS
Coral Harbour,64.133333,-83.166667,Canada,CA,Nunavut,,834,834,NU
La Scie,49.966667,-55.583333,Canada,CA,Newfoundland and Labrador,,817,817,NL
Watson Lake,60.116667,-128.8,Canada,CA,Yukon,,802,802,YT
Taloyoak,69.533333,-93.533333,Canada,CA,Nunavut,,774,774,NU
Natashquan,50.183333,-61.816667,Canada,CA,QuÃ©bec,,722,722,QC
Buchans,48.816667,-56.866667,Canada,CA,Newfoundland and Labrador,,685,685,NL
Hall Beach,68.766667,-81.2,Canada,CA,Nunavut,,654,654,NU
Arctic Bay,73.033333,-85.166667,Canada,CA,Nunavut,,604,604,NU
Fort Good Hope,66.266667,-128.633333,Canada,CA,Northwest Territories,,597,597,NT
Mingan,50.3,-64.016667,Canada,CA,QuÃ©bec,,588,588,QC
Kangirsuk,60.016667,-70.033333,Canada,CA,QuÃ©bec,,549,549,QC
Sandspit,53.239111,-131.818769,Canada,CA,British Columbia,,538,538,BC
DÃ©lÄ¯ne,65.183333,-123.416667,Canada,CA,Northwest Territories,,525,262,NT
Fort Smith,60,-111.883333,Canada,CA,Northwest Territories,,518,518,NT
Cartwright,53.7,-57.016667,Canada,CA,Newfoundland and Labrador,,505,505,NL
Holman,70.733333,-117.75,Canada,CA,Northwest Territories,,500,398,NT
Lynn Lake,56.85,-101.05,Canada,CA,Manitoba,,482,482,MB
Schefferville,54.8,-66.816667,Canada,CA,QuÃ©bec,,471,471,QC
Trout River,49.483333,-58.116667,Canada,CA,Newfoundland and Labrador,,452,452,NL
Forteau Bay,51.45,-56.95,Canada,CA,Newfoundland and Labrador,,448,448,NL
Fort Resolution,61.166667,-113.683333,Canada,CA,Northwest Territories,,448,448,NT
Hopedale,55.45,-60.216667,Canada,CA,Newfoundland and Labrador,,442,442,NL
Pukatawagan,55.733333,-101.316667,Canada,CA,Manitoba,,431,431,MB
Trepassey,46.733333,-53.366667,Canada,CA,Newfoundland and Labrador,,398,398,NL
Kimmirut,62.85,-69.883333,Canada,CA,Nunavut,,385,385,NU
Chesterfield Inlet,63.333333,-90.7,Canada,CA,Nunavut,,374,374,NU
Eastmain,52.233333,-78.516667,Canada,CA,QuÃ©bec,,335,335,QC
Dease Lake,58.476697,-129.96146,Canada,CA,British Columbia,,303,303,BC
Paulatuk,69.383333,-123.983333,Canada,CA,Northwest Territories,,294,294,NT
Fort Simpson,61.85,-121.333333,Canada,CA,Northwest Territories,,283,283,NT
Brochet,57.883333,-101.666667,Canada,CA,Manitoba,,278,278,MB
Cat Lake,51.716667,-91.8,Canada,CA,Ontario,,277,277,ON
Radisson,53.783333,-77.616667,Canada,CA,QuÃ©bec,,270,270,QC
Port-Menier,49.816667,-64.35,Canada,CA,QuÃ©bec,,263,263,QC
Resolute,74.683333,-94.9,Canada,CA,Nunavut,,250,229,NU
Saint Anthony,51.383333,-55.6,Canada,CA,Newfoundland and Labrador,,224,224,NL
Port Hope Simpson,52.533333,-56.3,Canada,CA,Newfoundland and Labrador,,197,197,NL
Oxford House,54.95,-95.266667,Canada,CA,Manitoba,,184,184,MB
Tsiigehtchic,67.433333,-133.75,Canada,CA,Northwest Territories,,175,175,NT
Ivujivik,62.416667,-77.9,Canada,CA,QuÃ©bec,,156,156,QC
Stony Rapids,59.266667,-105.833333,Canada,CA,Saskatchewan,,152,152,SK
Alert,82.483333,-62.25,Canada,CA,Nunavut,,125,70,NU
Fort Severn,55.983333,-87.65,Canada,CA,Ontario,,125,125,ON
Rigolet,54.166667,-58.433333,Canada,CA,Newfoundland and Labrador,,124,124,NL
Lansdowne House,52.216667,-87.883333,Canada,CA,Ontario,,120,120,ON
Salluit,62.2,-75.633333,Canada,CA,QuÃ©bec,,106,106,QC
Åutselkâ€™e,62.4,-110.733333,Canada,CA,Northwest Territories,,102,102,NT
Uranium City,59.566667,-108.616667,Canada,CA,Saskatchewan,,89,89,SK
Burwash Landing,61.35,-139,Canada,CA,Yukon,,73,73,YT
Grise Fiord,76.416667,-82.95,Canada,CA,Nunavut,,23,23,NU
Big Beaverhouse,52.95,-89.883333,Canada,CA,Ontario,,10,10,ON
Island Lake,53.966667,-94.766667,Canada,CA,Manitoba,,10,10,MB
Ennadai,61.133333,-100.883333,Canada,CA,Nunavut,,0,0,NU
